Rank,Name,Japanese_name,Type,Episodes,Studio,Release_season,Tags,Rating,Release_year,End_year,Description,Content_Warning,Related_Mange,Related_anime,Voice_actors,staff
18,Heaven Official's Blessing Special, Tian Guan Ci Fu Special,Web  ,1.0,Haoliners Animation League,,"BL, Romance, Shounen-ai, Afterlife, Ancient China, Chinese Animation, Demon King, Ghosts, Gods, Interspecies Relationship, Non-Human Protagonists, Opposites Attract, Royalty, Supernatural, Xianxia, Based on a Web Novel",4.5,2021.0,,'No synopsis yet - check back soon!',,"Heaven Official's Blessing (Novel), Heaven Official's Blessing","Heaven Official's Blessing 2nd Season, Heaven Official's Blessing","Hua Cheng, Xie Lian, Ban Yue, Mo Xiang Tong Xiu
Original Creator",Mo Xiang Tong Xiu : Original Creator
19,That Time I Got Reincarnated as a Slime Season 2, Tensei Shitara Slime Datta Ken Season 2,TV   ,12.0,8-Bit,Winter,"Action, Adventure, Fantasy, Shounen, Cheats, Demons, Isekai, Kingdom Building, Magic, Management, Modern Knowledge, Monsters, Person in a Strange World, Political, Reincarnation, RPG, Slimes, Based on a Manga",4.48,2021.0,,"'With the help of Queen Ramiris, the children are now in stable condition and should lead normal lives, much to Rimuru’s relief. But all is not well… In fact, there are forces of humankind in this fantasy world that do not look kindly upon a slime-led nation of monsters. And now, insidious threats to Rimuru and the country of Tempest may be lurking around every corner!'",,"That Time I Got Reincarnated as a Slime (Light Novel), That Time I Got Reincarnated as a Slime, That Time I Got Reincarnated as a Slime: The Ways of the Monster Nation, The Slime Diaries: That Time I Got Reincarnated as a Slime, That Time I Got Reincarnated (Again!) as a Workaholic Slime, Tenchura! Tensei Shitara Slime Datta Ken, That Time I Got Reincarnated as a Slime: Trinity in Tempest","That Time I Got Reincarnated as a Slime, That Time I Got Reincarnated as a Slime: Veldora's Journal, That Time I Got Reincarnated as a Slime OVA, That Time I Got Reincarnated as a Slime: Digression - Hinata Sakaguchi, The Slime Diaries: That Time I Got Reincarnated as a Slime, That Time I Got Reincarnated as a Slime Season 2: Veldora's Journal, That Time I Got Reincarnated as a Slime Season 2: Part II, That Time I Got Reincarnated as a Slime Movie","Rimuru Tempest : Miho Okazaki, Benimaru : Makoto Furukawa, Gobta : Asuna Tomari, Grucius : Satoshi Hino, Hakurou :  Houchuu Ootsuka, Myulan : Atsumi Tanezaki, Ranga : Chikahiro Kobayashi, Shion : M.A.O., Fuse
Original Creator, Mitz Vah
Original Character Design, Atsushi Nakayama
Director, Elements Garden
Music, Ryouma Ebata
Character Design","Fuse : Original Creator, Mitz Vah : Original Character Design, Atsushi Nakayama : Director, Elements Garden : Music, Ryouma Ebata : Character Design"
20,Given,,TV   ,11.0,Lerche,Summer,"BL, Drama, Romance, Shounen-ai, Death of a Loved One, Music, noitaminA, Based on a Manga, Mature Themes,, Suicide",4.48,2019.0,,"'Somehow, the guitar that he used to love to play and the basketball games that he found so fun just lost their appeal... That was until Ritsuka Uenoyama randomly met Mafuyu Sato. Ritsuka had started losing his passion for music in his everyday life, but then he hears Mafuyu sing for the first time. The song resonates with his heart and the distance between them starts to change.'","Mature Themes,, Suicide",Given,"Given Movie, Given: Uragawa no Sonzai","Mafuyu Sato : Shougo Yano, Ritsuka Uenoyama : Yuuma Uchida, Akihiko Kaji : Takuya Eguchi, Haruki Nakayama : Masatomo Nakazawa, Hiiragi Kashima : Fumiya Imai, Ryou Ueki : Hirosato Amano, Shogo Itaya : Kengo Takanashi, Yatake Koji : Ryouta Takeuchi, Natsuki Kizu
Original Creator, Hikaru Yamaguchi
Director, Michiru
Music, Mina Osawa
Character Design, Kouhei Honda
Art Director","Natsuki Kizu : Original Creator, Hikaru Yamaguchi : Director, Michiru : Music, Mina Osawa : Character Design, Kouhei Honda : Art Director"
21,Code Geass: Lelouch of the Rebellion R2, Code Geass: Hangyaku no Lelouch R2,TV   ,25.0,Sunrise,Spring,"Mecha, Sci Fi, Conspiracy, Mind Games, Overpowered Main Characters, Political, Psychological, Real Robot, Rebellions, Rivalries, Royalty, Secret Identity, Superpowers, Terrorism, Original Work",4.47,2008.0,,"'Area 11 is still under Britannian rule and the Elevens remain brutally oppressed; what’s more, their saviour, Zero, is nowhere to be found and all of Britannia believes the rebellion is finally over. Elsewhere, having lost the battle, Lelouch sets his sights upon winning the war – but the task is no easier since the Britannian forces have learned some valuable lessons all of their own. Not only have they discovered his identity and captured many of his Black Knights, but they now manipulate the memories of all of his friends. Worst of all, they have taken the most precious thing in his life – his dear sister, Nunnally. With his hatred for the Britannians stronger than ever before, Lelouch must now recuperate his forces and bring their rule of terror to an end.'",,"Code Geass: Lelouch of the Rebellion, Code Geass: Suzaku of the Counterattack, Code Geass: Nightmare of Nunnally, Code Geass: Lelouch of the Rebellion - Knight: Official Comic Anthology - For Girls, Code Geass: Lelouch of the Rebellion - Queen: Official Comic Anthology - For Boys, Code Geass: Lelouch of the Rebellion (Light Novel), Code Geass: Lelouch of the Rebellion - Ake no Kiseki (Light Novel), Code Geass: Tales of an Alternate Shogunate, Code Geass: Lelouch of the Rebellion R2 (Light Novel), Code Geass: Lelouch of the Rebellion R2 - Knights of the Round (Light Novel), Code Geass: Shikkoku no Renya, Barcode Geass: Hanbai no Lelouch, Code Geass: Soubou no Oz, Code Geass: Boukoku no Akito (Light Novel), Kateikyoushi no Lelouch-san","Code Geass: Lelouch of the Rebellion, Code Geass: Lelouch of the Rebellion Recaps, Code Geass: Lelouch of the Rebellion Picture Drama, Code Geass: Lelouch of the Rebellion Special Edition - Black Rebellion, Code Geass: Lelouch of the Rebellion R2 Picture Drama, Code Geass: Lelouch of the Rebellion R2 Flash Specials, Code Geass: Lelouch of the Rebellion R2 Special Edition - Zero Requiem, Code Geass: Lelouch of the Rebellion - Kiseki no Birthday Picture Drama, Code Geass: Akito the Exiled, Code Geass: Nunnally in Wonderland, Code Geass Gaiden: Boukoku no Akito Picture Drama","C.C. : Yukana, Kallen Stadtfeld : Ami Koshimizu, Lelouch Lamperouge : Jun Fukuyama, Suzaku Kururugi : Takahiro Sakurai, Anya Alstreim : Yuuko Gotou, Cecile Croomy : Kikuko Inoue, Charles Zi Britannia : Norio Wakamoto, Cornelia Li Britannia : Junko Minagawa, Gorou Taniguchi
Director & Original Creator & Storyboard, Clamp
Original Character Design, Kotaro Nakagawa
Music, Hitomi Kuroishi
Music, Takahiro Kimura
Character Design, Takao Minegishi
Producer, Hirofumi Morotomi
Producer, Jun Yukawa
Producer","Gorou Taniguchi : Director & Original Creator & Storyboard, Clamp : Original Character Design, Kotaro Nakagawa : Music, Hitomi Kuroishi : Music, Takahiro Kimura : Character Design, Takao Minegishi : Producer, Hirofumi Morotomi : Producer, Jun Yukawa : Producer"
22,Mo Dao Zu Shi 2, The Founder of Diabolism 2,Web  ,8.0,B.C MAY PICTURES,,"Action, Fantasy, Mystery, Ancient China, Chinese Animation, Cultivation, Historical, Martial Arts, Overpowered Main Characters, Supernatural, Swordplay, War, Xianxia, Zombies, Based on a Web Novel, Violence",4.46,2019.0,,'The second season of Mo Dao Zu Shi.',Violence,"Grandmaster of Demonic Cultivation: Mo Dao Zu Shi (Novel), The Master of Diabolism","Mo Dao Zu Shi, Mo Dao Zu Shi Q, Mo Dao Zu Shi 3","Lan Wangji : Bian Jiang, Wei Wuxian : Zhang Jie, Jiang Cheng : Guo Haoran, Jin Guangyao : Yang Tianxiang, Jin Ling : Su Shangqing, Lan Xichen : Ji Xian, Fairy, Granny Wen, Mo Xiang Tong Xiu
Original Creator, Xiong Ke
Chief Director, Ma Chendi
Chief Director, Sun Yujing
Music, Weng Teng
Music, Feng Shuo
Music, Shen Lin
Character Design & Chief Animation Director, Liang Sha
Screenplay","Mo Xiang Tong Xiu : Original Creator, Xiong Ke : Chief Director, Ma Chendi : Chief Director, Sun Yujing : Music, Weng Teng : Music, Feng Shuo : Music, Shen Lin : Character Design & Chief Animation Director, Liang Sha : Screenplay"
23,Gintama: The Very Final, Gintama: The Final,Movie,,BN Pictures,,"Action, Comedy, Drama, Sci Fi, Shounen, Aliens, Feudal Japan, Gag, Parody, Samurai, Swordplay, Based on a Manga, Violence",4.46,2021.0,,"""This is the actual ending.\xa0The countdown to destruction has begun! All will join to reclaim an Edo in grave peril! Earth is facing its darkest days, and the members of the Odd Jobs must come together to save it from an otherworldly menace. Old allies Gintoki, Takasugi, and Katsura strive their hardest for their own ideals, but standing in their way is someone with whom they share a sad history: Utsuro, an alternate personality of their former teacher and mentor, Shoyu. Having been spawned by Altana, the energy that fuels all planets, this immortal fiend has regenerated multiple times until finally becoming Utsuro, the ultimate enemy... And he intends to take down the entire world in order to end his own life.\xa0Gintoki and the others set out to fulfill the wishes of their teacher Shoyo and thwart Utsuro's plans. Shinpachi, Kagura, the Shinsengumi, members of the Kabuki District, and even former enemies will join their fight. As Utsuro's power grows, Takasugi fights for his very life. Will Gintoki be able to put an end to all this?!""",Violence,"Gintama, 3-Z Class's Ginpachi-sensei (Light Novel), Gintama Kanketsu-hen: Yorozuya yo Eien Nare (Light Novel)","Gintama, Gintama', Gintama': Enchousen, Gintama°, Gintama., Gintama: Porori-hen, Gintama.: Shirogane no Tamashii-hen, Gintama.: Shirogane no Tamashii-hen 2, Gintama: The Final x Mameshiba, Gintama: The Semi-Final","Gintoki Sakata : Tomokazu Sugita, Kagura : Rie Kugimiya, Shinpachi Shimura : Daisuke Sakaguchi, Abuto, Hideaki Sorachi : Hideaki Sorachi, Kamui, Kotarou Katsura, Shinsuke Takasugi, Hideaki Sorachi
Original Creator, Chizuru Miyawaki
Director, Audio Highs
Music, Shinji Takeuchi
Character Design, Kazumasa Sanjouba
Producer, Takashi Maekawa
Producer, Akane Shiraishi
Editor","Hideaki Sorachi : Original Creator, Chizuru Miyawaki : Director, Audio Highs : Music, Shinji Takeuchi : Character Design, Kazumasa Sanjouba : Producer, Takashi Maekawa : Producer, Akane Shiraishi : Editor"
24,Link Click, Shiguang Dailiren,Web  ,11.0,Studio LAN,,"Drama, Fantasy, Chinese Animation, Contemporary Fantasy, Superpowers, Time Travel, Urban Fantasy, Original Work, Violence",4.46,2021.0,,"'Using superpowers to enter their clientele’s photos one by one, Cheng Xiaoshi and Lu Guang take their work seriously at “Time Photo Studio,” a small photography shop set in the backdrop of a modern metropolis. Each job can be full of danger, but nothing is more important than fulfilling every order, no matter the scale…or peril involved!'",Violence,,"Link Click: Marrying by Contesting, Link Click: Troubles of Ordinary People, Shiguang Zhaoxiangguan de Richang, Link Click 2nd Season","Cheng Xiaoshi : Toshiyuki Toyonaga, Lu Guang : Takahiro Sakurai, Qiao Ling : Aoi Koga, Chemistry Teacher, Chen Bin, Chen Xiao, Chen Xiao'S Father, Chen Xiao'S Mother, Li Haoling
Director",Li Haoling : Director
25,Mob Psycho 100 II,,TV   ,13.0,Bones,Winter,"Action, Comedy, Exorcists, Psychic Powers, Psychological, School Life, Supernatural, Superpowers, Based on a Manga, Violence",4.46,2019.0,,'Second season of Mob Psycho 100.',Violence,"Mob Psycho 100, Mob Psycho 100: Reigen","Mob Psycho 100 III, Mob Psycho 100, Mob Psycho 100 II: The First Spirits and Such Company Trip - A Journey that Mends the Heart and Heals the Soul","Arataka Reigen : Takahiro Sakurai, Shigeo Kageyama : Setsuo Ito, Ekubo : Akio Ootsuka, Ritsu Kageyama : Miyu Irino, Shou Suzuki : Sachi Kokuryu, Teruki Hanazawa : Yoshitsugu Matsuoka, Toichiro Suzuki : Kazuhiko Inoue, Banshoumaru Shinra : Taiten Kusunoki, One
Original Creator, Yuzuru Tachikawa
Director, Hiroshi Seko
Series Composition, Kenji Kawai
Music, Yoshimichi Kameda
Character Design, Masahiko Minami
Producer, Akio Matsuda
Producer, Shinji Oomori
Producer","One : Original Creator, Yuzuru Tachikawa : Director, Hiroshi Seko : Series Composition, Kenji Kawai : Music, Yoshimichi Kameda : Character Design, Masahiko Minami : Producer, Akio Matsuda : Producer, Shinji Oomori : Producer"
26,Haikyuu!! To the Top,,TV   ,13.0,Production I.G,Winter,"Shounen, Sports, Animeism, School Club, Tournaments, Volleyball, Based on a Manga",4.46,2020.0,,"'The Karasuno High School Volleyball Club finally won their way into the nationals after an intense battle for the Miyagi Prefecture Spring Tournament qualifiers.\xa0As they were preparing for the nationals, Kageyama is invited to go to All-Japan Youth Training Camp. At the same time, Tsukishima is invited to go to a special rookie select training camp for first-years in Miyagi Prefecture. Hinata feels panic that he’s being left behind as one of the first-years and then decides to show up at the Miyagi Prefecture rookie select training camp anyway...\xa0As they prepare for the nationals, Hinata, Kageyama and the rest of the Karasuno High School Volleyball team get ready to face some new challenges!!'",,"Haikyuu!!, Haikyuu-bu!!","Haikyuu!!, Haikyuu!! Lev Kenzan!, Haikyuu!! Second Season, Haikyuu!! vs. ""Akaten"", Haikyuu!! Karasuno High School vs Shiratorizawa Academy, Haikyuu!! Riku vs Kuu, Haikyuu!! To the Top: Part II","Asahi Azumane : Yoshimasa Hosoya, Daichi Sawamura : Satoshi Hino, Kei Tsukishima : Kouki Uchiyama, Koshi Sugawara : Miyu Irino, Ryunosuke Tanaka : Yuu Hayashi, Shoyo Hinata : Ayumu Murase, Tadashi Yamaguchi : Soma Saito, Tobio Kageyama : Kaito Ishikawa, Haruichi Furudate
Original Creator, Masako Satou
Director, Yuuki Hayashi
Music, Asami Tachibana
Music, Takahiro Kishida
Character Design, Toshihiro Maeda
Producer, Wakana Okamura
Producer, Fumi Morihiro
Producer","Haruichi Furudate : Original Creator, Masako Satou : Director, Yuuki Hayashi : Music, Asami Tachibana : Music, Takahiro Kishida : Character Design, Toshihiro Maeda : Producer, Wakana Okamura : Producer, Fumi Morihiro : Producer"
27,Fruits Basket 2nd Season,,TV   ,25.0,8 Pan,Spring,"Comedy, Drama, Fantasy, Romance, Shoujo, Animal Transformation, Contemporary Fantasy, Curse, Dysfunctional Families, Love Triangle, Mental Illness, Orphans, Based on a Manga, Bullying,, Emotional Abuse,, Mature Themes,, Physical Abuse,, Domestic Abuse",4.45,2020.0,,'Second season of Fruits Basket.',"Bullying,, Emotional Abuse,, Mature Themes,, Physical Abuse,, Domestic Abuse","Fruits Basket, Fruits Basket Another, Fruits Basket: The Three Musketeers Arc","Fruits Basket 1st Season, Fruits Basket the Final Season","Kyo Sohma : Yuuma Uchida, Shigure Sohma : Yuuichi Nakamura, Tohru Honda : Manaka Iwami, Yuki Sohma : Nobunaga Shimazaki, Akito Sohma : Maaya Sakamoto, Arisa Uotani : Atsumi Tanezaki, Ayame Sohma : Takahiro Sakurai, Hatori Sohma : Kazuyuki Okitsu, Natsuki Takaya
Original Creator, Yoshihide Ibata
Director & Episode Director & Storyboard, Taku Kishimoto
Screenplay & Series Composition, Masaru Yokoyama
Music, Masaru Shindou
Character Design, Baek-Ryun Chae
Photography Director, Nozomi Shitara
Photography Director, Mika Sugawara
Color Design","Natsuki Takaya : Original Creator, Yoshihide Ibata : Director & Episode Director & Storyboard, Taku Kishimoto : Screenplay & Series Composition, Masaru Yokoyama : Music, Masaru Shindou : Character Design, Baek-Ryun Chae : Photography Director, Nozomi Shitara : Photography Director, Mika Sugawara : Color Design"
28,The Promised Neverland, Yakusoku no Neverland,TV   ,12.0,CloverWorks,Winter,"Fantasy, Horror, Mystery, Sci Fi, Shounen, Dark Fantasy, Isolated Society, Mind Games, noitaminA, Orphans, Outside World, Psychological, Thriller, Based on a Manga, Mature Themes,, Domestic Abuse,, Self-Harm",4.45,2019.0,,"'Emma, Norman, Ray, and many other ""siblings"" live at an isolated orphanage cut off from the outside world. They live a charmed life surrounded by friends and watched over by Mama, their caretaker, until they leave the house for a foster family by the age of twelve. The only rule is that they must never venture outside of the gate that isolates them from the rest of society, for dangers await. But one day, the children learn the true horror of what\'s in store for their short lives...'","Mature Themes,, Domestic Abuse,, Self-Harm","The Promised Neverland, The Promised Neverland: Norman Kara no Tegami (Light Novel), The Promised Neverland: Mama-tachi no Tsuisoukyoku (Light Novel), Oyakusoku no Neverland, The Promised Neverland: Senyuu-tachi no Record (Light Novel), The Promised Neverland: Special Pilot Chapter - We Were Born","The Promised Neverland 2nd Season, The Promised Neverland 2nd Season: Tokubetsu Hen - Michishirube","Emma : Sumire Morohoshi, Norman : Maaya Uchida, Ray : Mariya Ise, Don : Shinei Ueki, Gilda : Lynn, Isabella : Yuko Kaida, Krone : Nao Fujita, Alicia : Yoshino Aoyama, Kaiu Shirai
Original Creator, Mamoru Kanbe
Director, Takahiro Obata
Music, Kazuaki Shimada
Character Design, Tomoyuki Shiokawa
Photography Director, Shigemi Ikeda
Art Director, Kazuko Nakashima
Color Design, Kenta Suzuki
Producer","Kaiu Shirai : Original Creator, Mamoru Kanbe : Director, Takahiro Obata : Music, Kazuaki Shimada : Character Design, Tomoyuki Shiokawa : Photography Director, Shigemi Ikeda : Art Director, Kazuko Nakashima : Color Design, Kenta Suzuki : Producer"
